head,relation,tail
白菜,是,蔬菜
冰箱,是,电器
餐桌,是,家具
耳朵,是,身体部位
帆船,是,船
甘蔗,是,水果
柑橘,是,水果
拐杖,是,工具
猴子,是,陆生动物
黄瓜,是,蔬菜
火车,是,车
夹克,是,服饰
脚后跟,是,身体部位
韭菜,是,蔬菜
卡车,是,车
裤子,是,服饰
老虎,是,陆生动物
老鼠,是,陆生动物
马桶,是,家具
毛衣,是,服饰
茅草屋,是,建筑
摩托车,是,车
葡萄,是,水果
人行天桥,是,建筑
扫帚,是,工具
沙发,是,家具
狮子,是,陆生动物
手掌,是,身体部位
书柜,是,家具
兔子,是,陆生动物
袜子,是,服饰
围巾,是,服饰
西瓜,是,水果
喜鹊,是,鸟
牙齿,是,身体部位
椅子,是,家具
雨伞,是,工具
直升机,是,飞机
白菜,有,叶子
白菜,需要,水
白菜,需要,阳光
白菜,有,菜叶
白菜,是,绿色的
白菜,需要,肥料
白菜,需要,土
白菜,有,维生素
白菜,是,青菜
白菜,像,卷心菜
白菜,像,青菜
白菜,像,娃娃菜
白菜,需要,呼吸
白菜,需要,清洗
白菜,需要,种植
白菜,有,菜根
白菜,有,茎
白菜,有,营养
白菜,可以,腌制
白菜,是,土中生长的
白菜,像,包菜
白菜,像,翡翠
白菜,像,花
白菜,需要,生长
白菜,有,白菜帮
白菜,有,帮子
鼻子,需要,呼吸
鼻子,有,鼻孔
鼻子,有,鼻毛
鼻子,需要,保护
鼻子,需要,清洗
鼻子,有,鼻涕
鼻子,有,两个孔
鼻子,可以,闻气味
鼻子,需要,空气
鼻子,像,耳朵
鼻子,像,三角形
鼻子,像,山
鼻子,有,骨骼
鼻子,有,肌肉
鼻子,可以,流鼻血
鼻子,可以,擤鼻涕
鼻子,是,软的
鼻子,是,五官
鼻子,像,插座
鼻子,像,大蒜
鼻子,像,山洞
鼻子,需要,畅通
鼻子,需要,清洁
鼻子,有,毛孔
鼻子,有,肉
冰箱,需要,电
冰箱,可以,冷藏
冰箱,可以,冷冻
冰箱,可以,保鲜
冰箱,是,家里的
冰箱,是,柜子
冰箱,可以,储物
冰箱,有,隔层
冰箱,需要,清洗
冰箱,有,多种型号
冰箱,是,家具
冰箱,是,冷的
冰箱,是,长方形
冰箱,像,冰窖
冰箱,需要,电源
冰箱,有,抽屉
冰箱,有,多种品牌
冰箱,可以,冰冻
冰箱,可以,冻冰块
冰箱,是,设备
冰箱,像,橱柜
冰箱,像,自动售货机
冰箱,需要,保养
冰箱,需要,充电
冰箱,需要,清洁
餐桌,是,木的
餐桌,是,桌子
餐桌,有,桌面
餐桌,可以,储物
餐桌,需要,清洗
餐桌,是,圆形
餐桌,像,茶几
餐桌,需要,制造
餐桌,有,桌布
餐桌,像,桌子
餐桌,需要,擦
餐桌,有,四条腿
餐桌,是,餐具
餐桌,有,餐具
餐桌,有,多种颜色
餐桌,可以,放餐具
餐桌,可以,放盘子
餐桌,可以,放碗
餐桌,像,写字台
餐桌,需要,打扫
餐桌,需要,加工
餐桌,需要,清洁
餐桌,需要,桌布
车库,可以,停车
车库,需要,打扫
车库,是,大的
车库,是,宽广的
车库,像,储藏室
车库,像,停车场
车库,有,灯
车库,可以,放车
车库,可以,买卖
车库,是,黑暗的
车库,像,盒子
车库,有,墙
车库,可以,存车
车库,可以,存放车辆
车库,是,阴暗的
车库,像,地下室
车库,像,库房
车库,需要,钥匙
车库,有,面积
衬衫,可以,穿
衬衫,有,领子
衬衫,需要,清洗
衬衫,有,袖子
衬衫,可以,保暖
衬衫,需要,熨烫
衬衫,有,多种颜色
衬衫,是,上衣
衬衫,可以,买卖
衬衫,像,外套
衬衫,需要,缝纫
衬衫,需要,设计
衬衫,有,多种样式
衬衫,是,软的
衬衫,需要,晾干
衬衫,需要,阳光
衬衫,有,多种材质
衬衫,可以,打底
衬衫,是,白色的
衬衫,像,窗帘
衬衫,像,西装
衬衫,需要,整理
衬衫,有,多种价格
衬衫,有,多种种类
衬衫,有,花纹
衬衫,有,男款的
衬衫,有,线
耳朵,可以,听
耳朵,是,器官
耳朵,需要,保护
耳朵,需要,清洗
耳朵,其他,人
耳朵,有,耳垂
耳朵,像,3
耳朵,有,耳膜
耳朵,可以,戴耳环
耳朵,是,五官
耳朵,有,耳道
耳朵,可以,打耳洞
耳朵,像,蜗牛
耳朵,像,月亮
耳朵,有,多种形状
耳朵,有,耳洞
耳朵,有,神经
耳朵,可以,听到声音
耳朵,是,成对的
耳朵,是,小的
耳朵,像,喇叭
耳朵,像,猫耳朵
耳朵,像,木耳
耳朵,像,蒲扇
耳朵,有,耳屎
耳朵,有,皮肤
耳朵,有,软骨
耳朵,有,听觉
耳朵,有,血管
耳朵,有,猪耳朵
帆船,有,帆
帆船,其他,交通
帆船,是,工具
帆船,有,帆布
帆船,需要,风
帆船,有,布
帆船,有,甲板
帆船,可以,划
帆船,是,海里的
帆船,是,水上工具
帆船,像,轮船
帆船,需要,人
帆船,有,木板
帆船,有,桅杆
甘蔗,需要,水
甘蔗,需要,阳光
甘蔗,像,棍棒
甘蔗,有,皮
甘蔗,需要,种植
甘蔗,有,水
甘蔗,有,糖
甘蔗,需要,空气
甘蔗,是,长的
甘蔗,有,维生素
甘蔗,可以,买卖
甘蔗,有,果肉
甘蔗,有,根
甘蔗,有,蔗糖
甘蔗,有,脂肪
柑橘,有,皮
柑橘,是,甜的
柑橘,需要,水
柑橘,有,果肉
柑橘,需要,剥开
柑橘,是,橘子
柑橘,需要,采摘
柑橘,需要,空气
柑橘,需要,阳光
柑橘,需要,种植
柑橘,有,籽
柑橘,是,圆形
柑橘,像,球
柑橘,需要,营养
柑橘,可以,解渴
柑橘,可以,买卖
柑橘,是,黄色的
柑橘,是,香的
柑橘,像,柚子
柑橘,有,果实
柑橘,有,维生素
柑橘,有,叶子
