head,relation,tail
白菜,是,蔬菜
冰箱,是,电器
甘蔗,是,水果
柑橘,是,水果
拐杖,是,工具
猴子,是,陆生动物
黄瓜,是,蔬菜
火车,是,车
脚后跟,是,身体部位
韭菜,是,蔬菜
老虎,是,陆生动物
老鼠,是,陆生动物
葡萄,是,水果
人行天桥,是,建筑
沙发,是,家具
狮子,是,陆生动物
书柜,是,家具
兔子,是,陆生动物
袜子,是,服饰
喜鹊,是,鸟
牙齿,是,身体部位
椅子,是,家具
雨伞,是,工具
直升机,是,飞机
白菜,有,叶子
白菜,需要,水
白菜,需要,阳光
白菜,有,菜叶
白菜,是,绿色的
白菜,需要,肥料
白菜,像,青菜
白菜,需要,清洗
白菜,有,菜根
白菜,有,茎
白菜,有,营养
白菜,可以,腌制
白菜,是,土中生长的
白菜,像,包菜
白菜,像,翡翠
白菜,像,花
白菜,需要,生长
白菜,有,白菜帮
白菜,有,帮子
鼻子,需要,呼吸
鼻子,有,鼻孔
鼻子,有,鼻毛
鼻子,需要,清洗
鼻子,有,两个孔
鼻子,需要,空气
鼻子,像,耳朵
鼻子,像,山
鼻子,是,五官
鼻子,像,插座
鼻子,像,大蒜
鼻子,需要,畅通
鼻子,有,毛孔
鼻子,有,肉
冰箱,需要,电
冰箱,可以,冷藏
冰箱,可以,保鲜
冰箱,是,家里的
冰箱,是,柜子
冰箱,有,隔层
冰箱,需要,清洗
冰箱,是,家具
冰箱,是,长方形
冰箱,需要,电源
冰箱,有,抽屉
冰箱,有,多种品牌
冰箱,可以,冰冻
冰箱,是,设备
冰箱,像,橱柜
冰箱,需要,保养
餐桌,是,桌子
餐桌,需要,清洗
餐桌,是,圆形
餐桌,像,茶几
餐桌,需要,制造
餐桌,有,桌布
餐桌,像,桌子
餐桌,有,四条腿
餐桌,是,餐具
餐桌,可以,放餐具
餐桌,可以,放盘子
餐桌,可以,放碗
餐桌,像,写字台
餐桌,需要,打扫
餐桌,需要,加工
餐桌,需要,清洁
餐桌,需要,桌布
车库,可以,停车
车库,需要,打扫
车库,是,大的
车库,可以,放车
车库,是,黑暗的
车库,像,盒子
车库,像,地下室
车库,需要,钥匙
衬衫,可以,穿
衬衫,需要,清洗
衬衫,有,袖子
衬衫,可以,保暖
衬衫,需要,熨烫
衬衫,有,多种颜色
衬衫,是,上衣
衬衫,像,外套
衬衫,需要,缝纫
衬衫,需要,设计
衬衫,有,多种样式
衬衫,是,软的
衬衫,需要,晾干
衬衫,需要,阳光
衬衫,有,多种材质
衬衫,可以,打底
衬衫,像,窗帘
衬衫,需要,整理
衬衫,有,花纹
衬衫,有,线
耳朵,是,器官
耳朵,需要,保护
耳朵,需要,清洗
耳朵,其他,人
耳朵,像,3
耳朵,有,耳膜
耳朵,是,五官
耳朵,有,耳道
耳朵,可以,打耳洞
耳朵,有,多种形状
耳朵,有,神经
耳朵,是,成对的
耳朵,是,小的
耳朵,像,喇叭
耳朵,像,蒲扇
耳朵,有,耳屎
耳朵,有,软骨
耳朵,有,血管
帆船,有,帆布
帆船,有,布
帆船,是,水上工具
帆船,需要,人
帆船,有,木板
帆船,有,桅杆
甘蔗,需要,水
甘蔗,需要,阳光
甘蔗,像,棍棒
甘蔗,有,皮
甘蔗,有,水
甘蔗,有,糖
甘蔗,需要,空气
甘蔗,有,维生素
甘蔗,有,果肉
甘蔗,有,蔗糖
甘蔗,有,脂肪
柑橘,是,甜的
柑橘,需要,水
柑橘,是,橘子
柑橘,需要,空气
柑橘,需要,阳光
柑橘,需要,种植
柑橘,有,籽
柑橘,像,球
柑橘,需要,营养
柑橘,可以,解渴
柑橘,像,柚子
柑橘,有,果实
柑橘,有,维生素
柑橘,可以,冲泡
柑橘,其他,橘生淮北则为枳
柑橘,其他,橘生淮南则为橘
柑橘,是,好吃的
柑橘,是,清香的
柑橘,像,灯笼
柑橘,像,柿子
高速公路,需要,维护
高速公路,可以,行驶
高速公路,需要,收费
高速公路,可以,高速行驶
高速公路,是,宽广的
高速公路,需要,保养
高速公路,其他,交通
高速公路,是,黑色的
高速公路,是,弯的
高速公路,像,公路
高速公路,需要,限速
高速公路,有,油漆
鸽子,有,翅膀
鸽子,需要,水
鸽子,有,羽毛
鸽子,可以,送信
鸽子,有,爪子
鸽子,是,白色的
鸽子,需要,空气
鸽子,像,麻雀
鸽子,需要,谷物
鸽子,有,多种颜色
鸽子,可以,传信
鸽子,是,生物
鸽子,像,喜鹊
鸽子,像,燕子
鸽子,需要,训练
鸽子,有,脚
鸽子,是,聪明的
鸽子,是,灰色的
鸽子,是,家养的
拐杖,是,棍棒
拐杖,有,把手
拐杖,可以,买卖
拐杖,是,长的
拐杖,可以,行走
拐杖,有,多种材质
拐杖,可以,打人
拐杖,是,硬的
拐杖,像,竹子
拐杖,需要,设计
拐杖,可以,拿
拐杖,可以,探路
拐杖,是,条状的
拐杖,是,医疗用品
拐杖,需要,支撑
拐杖,有,油漆
猴子,像,人
猴子,有,尾巴
猴子,需要,保护
猴子,需要,水
猴子,可以,跳
猴子,有,四肢
猴子,有,嘴巴
猴子,可以,爬树
猴子,像,猩猩
猴子,需要,睡觉
猴子,是,灵长类
猴子,有,皮肤
猴子,有,手臂
黄瓜,是,绿色的
黄瓜,是,长的
黄瓜,需要,种植
黄瓜,需要,土
黄瓜,有,籽
黄瓜,可以,生吃
黄瓜,是,条状的
黄瓜,需要,采摘
黄瓜,像,棍棒
黄瓜,需要,空气
黄瓜,有,营养
黄瓜,需要,削皮
黄瓜,有,把手
黄瓜,有,瓜皮
黄瓜,有,维生素C
黄瓜,可以,干吃
黄瓜,像,擀面杖
黄瓜,有,多种型号
火车,需要,司机
火车,有,车头
火车,需要,电
火车,可以,乘坐
火车,需要,驾驶
火车,可以,行驶
火车,像,高铁
火车,需要,铁轨
火车,需要,动力
